station,phi,phi_se,dt,dt_se,#F1,#F2,#F3,Total#  
ARAZ,33,4.73,0.19,0.0097,16,6,7,29 
NS01,46,1.27,0.16,0.002,489,171,107,767 
NS02,24,2.1,0.13,0.0027,238,101,67,406 
NS03,35,1.19,0.099,0.0018,383,162,106,651 
NS04,79,3.05,0.13,0.0034,166,73,24,263 
NS06,27,6.52,0.14,0.0055,30,10,16,56 
NS07,-3,14.86,0.13,0.0037,149,63,32,244 
NS18,-1,11.53,0.12,0.0068,27,20,18,65 
NS16,35,2.55,0.11,0.0035,172,83,38,293 
NS10,55,6.36,0.14,0.004,159,69,13,241 
NS11,54,2.99,0.14,0.0044,111,44,18,173 
NS12,5,12.6,0.14,0.0045,121,48,23,192 
NS13,43,1.62,0.10,0.003,102,52,81,235 
NS14,52,3.09,0.12,0.003,230,53,14,297 
NS15,63,12.58,0.084,0.0091,21,10,1,32 
RT01,20,1.55,0.12,0.0013,1021,418,230,1669 
RT02,-52,16.09,0.18,0.014,17,4,1,22 
RT03,-86,13.45,0.15,0.014,20,3,3,26 
RT05,42,6.2,0.093,0.0014,851,444,304,1599 
RT06,80,8.63,0.087,0.017,5,4,1,10 
RT07,-82,8.93,0.08,0.008,28,22,8,58 
RT08,67,14.51,0.13,0.0062,19,13,11,43 
RT09,5,5.55,0.093,0.0042,64,28,20,112 
RT11,-29,9.74,0.11,0.0041,129,48,20,197 
RT12,-10,0.64,0.12,0.0013,721,366,137,1224 
RT13,-76,2.56,0.12,0.0029,341,132,56,529 
RT14,-18,16.62,0.14,0.0068,48,13,9,70 
RT15,-17,11.03,0.14,0.017,11,5,1,17 
RT17,4,3.59,0.14,0.0032,263,66,51,380 
RT20,50,16.29,0.11,0.014,20,7,2,29 
RT21,-13,14.11,0.15,0.0092,48,9,5,62 
RT22,0,15.5,0.15,0.011,25,7,2,34 
WPRZ,45,1.34,0.13,0.0017,451,228,175,854 